"iata_code"	"icao_code"	"name_rus"	"city_rus"	"country_rus"	"latitude"	"longitude"	"tags"
"SRZ"	"SLET"		"Санта-Круз-Айленд"	"Боливия"	"-17.811581"	"-63.171481"	
"VVI"	"SLVR"		"Санта-Круз-Айленд"	"Боливия"	"-17.644756"	"-63.135364"	
"SNZ"	"SBSC"	"Санта-Круз"	"Санта-Круз-Айленд"	"Бразилия"	"-22.932350"	"-43.719092"	
"SRU"			"Санта-Круз-Айленд"	"Колумбия"	"2.1666666666667"	"-76.1"	
"SZC"	"MRTM"	"Гуанакасте"	"Санта-Круз-Айленд"	"Коста-Рика"	"10.267"	"-85.600"	
"SMC"		"Санта Мария"	"Санта-Мария"	"Колумбия"	"8.150"	"-77.050"	
"SMG"	"SPMR"	"Санта Мария"	"Санта-Мария"	"Перу"	"-11.983"	"-77.000"	
"SMA"	"LPAZ"		"Санта-Мария"	"Португалия"	"36.971390"	"-25.170639"	
"SMX"	"KSMX"		"Санта-Мария"	"США"	"34.898917"	"-120.457444"	
"RSA"	"SAZR"	"Санта-Роза"	"Санта-Роса"	"Аргентина"	"-36.588322"	"-64.275694"	
"SRB"	"SLSR"	"Санта-Роза"	"Санта-Роса"	"Боливия"	"-14.083"	"-66.783"	
"SRA"	"SSZR"	"Санта-Роза"	"Санта-Роса"	"Бразилия"	"-27.906744"	"-54.520378"	
"STS"	"KSTS"		"Санта-Роса"	"США"	"38.508989"	"-122.812875"	
"SSL"		"Санта-Розалиа"	"Санта-Росалия"	"Колумбия"	"5.133"	"-70.867"	
"SRL"		"Санта-Розалиа"	"Санта-Росалия"	"Мексика"	"27.338"	"-112.265"	
"STZ"	"SWST"		"Санта-Терезинья"	"Бразилия"	"-10.464719"	"-50.518612"	
"SST"	"SAZL"	"Санта-Тересита"	"Санта-Тересита"	"Аргентина"	"-36.542317"	"-56.721756"	
"SNV"	"SVSE"	"Санта-Элена"	"Санта-Элена"	"Венесуэла"	"4.554722"	"-61.144922"	
"SRO"		"Сантана-Рамос"	"Сантана-Рамос"	"Колумбия"	"2.217"	"-75.250"	
"SDR"	"LEXJ"	"Сантандер"	"Сантандер"	"Испания"	"43.427064"	"-3.820006"	
"STM"	"SBSN"		"Сантарем"	"Бразилия"	"-2.422431"	"-54.792789"	
